Rank,Name,Level,Mode,Power,Class,Skills
58,Phexy,100,Hardcore,796,Sorcerer,"Flame Shield, Ice Shards, Ice Armor, Inferno, Teleport, Frost Nova"
59,Dizease,100,Hardcore,809,Sorcerer,"Flame Shield, Ice Shards, Ice Armor, Inferno, Teleport, Frost Nova"
60,Waxmywand,100,[Dead] Hardcore,791,Druid,"Storm Strike, Pulverize, Earthen Bulwark, Poison Creeper, Trample, Petrify"
61,SCOTRYHARD,100,[Dead] Hardcore,776,Rogue,"Puncture, Twisting Blades, Poison Trap, Shadow Step, Poison Imbuement, Shadow Imbuement"
62,Cj,100,Hardcore,784,Druid,"Storm Strike, Tornado, Cyclone Armor, Blood Howl, Hurricane, Grizzly Rage"
63,POEBetter,100,Hardcore,797,Sorcerer,"Frost Bolt, Ice Shards, Teleport, Frost Nova, Flame Shield, Deep Freeze"
64,ë©ë¹µì¥,100,[Dead] Hardcore,833,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Debilitating Roar, Trample, Grizzly Rage"
65,ì°ê½ì ì,100,[Dead] Hardcore,817,Sorcerer,"Frost Bolt, Ice Shards, Teleport, Frost Nova, Ice Armor, Flame Shield"
66,itsmethatsop,100,Hardcore,814,Druid,"Storm Strike, Landslide, Earthen Bulwark, Poison Creeper, Trample, Petrify"
67,Amartian,100,[Dead] Hardcore,792,Rogue,"Puncture, Twisting Blades, Shadow Step, Shadow Clone, Dash, Poison Imbuement"
68,Godrektwo,100,[Dead] Hardcore,800,Sorcerer,"Deep Freeze, Ice Shards, Ice Armor, Frost Nova, Teleport, Flame Shield"
69,GgTrashzzard,100,Hardcore,776,Barbarian,"Whirlwind, Lunging Strike, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
70,Icecanon,100,Hardcore,807,Sorcerer,"Ice Shards, Teleport, Deep Freeze, Frost Nova, Flame Shield, Ice Armor"
71,Yayahc,100,[Dead] Hardcore,811,Sorcerer,"Frost Nova, Ice Shards, Teleport, Ice Armor, Deep Freeze, Flame Shield"
72,DoomerCoomer,100,Hardcore,807,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Wrath of the Berserker, Challenging Shout"
73,PILLEBRILLE,100,Hardcore,793,Sorcerer,"Ice Armor, Ice Shards, Teleport, Frost Nova, Flame Shield, Deep Freeze"
74,NoLove,100,Hardcore,776,Necromancer,"Reap, Bone Spear, Corpse Explosion, Blood Mist, Bone Storm, Corpse Tendrils"
75,Ohsuggs,100,Hardcore,802,Necromancer,"Corpse Explosion, Bone Spear, Blood Mist, Corpse Tendrils, Bone Prison, Bone Storm"
76,Javris,100,Hardcore,743,Sorcerer,"Ice Shards, Flame Shield, Frost Nova, Ice Armor, Teleport, Deep Freeze"
77,Gurenge,100,Hardcore,799,Rogue,"Puncture, Twisting Blades, Dash, Shadow Step, Poison Trap, Death Trap"
78,Wolf,100,Hardcore,816,Rogue,"Puncture, Twisting Blades, Dark Shroud, Poison Trap, Shadow Step, Death Trap"
79,KaiTwo,100,Hardcore,804,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Trample, Debilitating Roar, Grizzly Rage"
80,XTC,100,[Dead] Hardcore,804,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
81,Gonzalini,100,Hardcore,822,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
82,TheMiniNova,100,Hardcore,804,Rogue,"Puncture, Twisting Blades, Shadow Step, Dash, Death Trap, Poison Imbuement"
83,Alanz,100,Hardcore,797,Rogue,"Shadow Imbuement, Rapid Fire, Dash, Shadow Step, Poison Trap, Shadow Clone"
84,ë§ìì¼í¸ê¸°,100,[Dead] Hardcore,798,Barbarian,"Frenzy, Hammer of the Ancients, Challenging Shout, Rallying Cry, War Cry, Wrath of the Berserker"
85,Trigz,100,[Dead] Hardcore,792,Druid,"Earth Spike, Pulverize, Trample, Debilitating Roar, Grizzly Rage, Earthen Bulwark"
86,Saltydayn,100,Hardcore,796,Sorcerer,"Frost Bolt, Ice Shards, Teleport, Flame Shield, Ice Armor, Frost Nova"
87,JAHITHBEAR,100,[Dead] Hardcore,788,Druid,"Debilitating Roar, Storm Strike, Earthen Bulwark, Landslide, Trample, Poison Creeper"
88,AshCarabott,100,[Dead] Hardcore,786,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
89,Diabetos,100,Hardcore,803,Druid,"Earth Spike, Pulverize, Grizzly Rage, Earthen Bulwark, Debilitating Roar, Trample"
90,Yey,100,Hardcore,824,Rogue,"Puncture, Flurry, Concealment, Shadow Clone, Dash, Shadow Step"
91,Sirela,100,Hardcore,795,Sorcerer,"Frost Bolt, Blizzard, Teleport, Frost Nova, Ice Armor, Deep Freeze"
92,HeadCrack,100,Hardcore,786,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
93,GGSADGE,100,Hardcore,782,Rogue,"Puncture, Twisting Blades, Shadow Step, Dash, Death Trap, Poison Trap"
94,Tonoko,100,Hardcore,813,Barbarian,"Lunging Strike, Whirlwind, War Cry, Rallying Cry, Challenging Shout, Wrath of the Berserker"
95,Dragon,100,Hardcore,813,Rogue,"Shadow Step, Twisting Blades, Poison Trap, Dash, Poison Imbuement, Shadow Imbuement"
96,Pohsk,100,Hardcore,811,Sorcerer,"Ice Shards, Teleport, Inferno, Ice Armor, Frost Nova, Flame Shield"
97,Aeronecro,100,Hardcore,807,Necromancer,"Bone Splinters, Bone Spear, Corpse Tendrils, Bone Storm, Blood Mist, Decrepify"
98,SafironQWER,100,Hardcore,806,Barbarian,"Frenzy, Hammer of the Ancients, Rallying Cry, Iron Skin, War Cry, Challenging Shout"
99,Azulith,100,[Dead] Hardcore,802,Sorcerer,"Frost Bolt, Ice Shards, Ice Armor, Teleport, Frost Nova, Deep Freeze"
100,Murbo,100,Hardcore,807,Druid,"Storm Strike, Tornado, Cyclone Armor, Grizzly Rage, Hurricane, Blood Howl"
101,Pantsu,100,Hardcore,812,Rogue,"Puncture, Twisting Blades, Poison Imbuement, Shadow Step, Poison Trap, Dash"
102,BEDA,100,Hardcore,767,Barbarian,"Leap, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Iron Skin"
103,Diverz,100,Hardcore,817,Sorcerer,"Flame Shield, Ice Shards, Teleport, Frost Nova, Ice Armor, Inferno"
104,morningcoffe,100,Hardcore,799,Sorcerer,"Flame Shield, Blizzard, Frost Nova, Ice Armor, Teleport, Deep Freeze"
105,Nuts,100,Hardcore,808,Rogue,"Puncture, Twisting Blades, Dash, Shadow Step, Poison Imbuement, Poison Trap"
106,ejayGOATSPLS,100,Hardcore,815,Barbarian,"Whirlwind, Wrath of the Berserker, Rallying Cry, War Cry, Ground Stomp, Challenging Shout"
107,Dwarfy,100,Hardcore,767,Sorcerer,"Ice Shards, Frost Nova, Teleport, Flame Shield, Ice Armor, Deep Freeze"
108,Spastic,100,Hardcore,783,Sorcerer,"Flame Shield, Ice Shards, Meteor, Teleport, Frost Nova, Ice Armor"
109,Sangui,100,Hardcore,773,Sorcerer,"Ice Shards, Deep Freeze, Ice Armor, Teleport, Frost Nova, Flame Shield"
110,Zephrax,100,Hardcore,798,Barbarian,"Wrath of the Berserker, Whirlwind, Lunging Strike, Rallying Cry, Challenging Shout, War Cry"
111,Alveona,100,Hardcore,798,Rogue,"Puncture, Penetrating Shot, Concealment, Shadow Step, Shadow Imbuement, Poison Imbuement"
112,legomaheggoz,100,Hardcore,802,Rogue,"Puncture, Twisting Blades, Shadow Step, Dark Shroud, Poison Trap, Death Trap"
113,iMpakT,100,[Dead] Hardcore,801,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
114,ì´ë¯¼ì°ì´í¸,100,Hardcore,796,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Trample, Debilitating Roar, Grizzly Rage"
115,TRUCK,100,Hardcore,807,Sorcerer,"Flame Shield, Ice Shards, Teleport, Ice Armor, Deep Freeze, Frost Nova"
116,Sinergy,100,Hardcore,794,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
117,Nedclade,100,Hardcore,810,Sorcerer,"Ice Shards, Deep Freeze, Teleport, Ice Armor, Frost Nova, Flame Shield"
118,Spinal,100,Hardcore,791,Barbarian,"Wrath of the Berserker, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Iron Skin"
119,Keane,100,[Dead] Hardcore,791,Rogue,"Puncture, Twisting Blades, Shadow Imbuement, Poison Trap, Shadow Step, Death Trap"
120,Kadala,100,Hardcore,806,Sorcerer,"Deep Freeze, Teleport, Ice Armor, Frost Nova, Flame Shield, Blizzard"
121,SevenSins,100,[Dead] Hardcore,802,Sorcerer,"Flame Shield, Firewall, Blizzard, Ice Armor, Frost Nova, Teleport"
122,ìì¤íë¡¯ì¤,100,Hardcore,821,Sorcerer,"Ice Shards, Frost Nova, Teleport, Ice Armor, Flame Shield, Deep Freeze"
123,CubePapa,100,Hardcore,808,Druid,"Storm Strike, Shred, Earthen Bulwark, Blood Howl, Trample, Grizzly Rage"
124,RamenL,100,[Dead] Hardcore,806,Rogue,"Puncture, Twisting Blades, Death Trap, Dark Shroud, Poison Trap, Shadow Step"
125,Bitcoin,100,Hardcore,797,Sorcerer,"Deep Freeze, Ice Shards, Ice Armor, Teleport, Frost Nova, Flame Shield"
126,Comfy,100,Hardcore,802,Sorcerer,"Arc Lash, Flame Shield, Teleport, Frost Nova, Ice Armor, Unstable Currents"
127,XeronicZeal,100,Hardcore,780,Sorcerer,"Fire Bolt, Ice Shards, Ice Armor, Frost Nova, Teleport, Inferno"
128,TomX,100,[Dead] Hardcore,804,Rogue,"Puncture, Flurry, Shadow Step, Dash, Poison Imbuement, Poison Trap"
129,Notoriouz,100,Hardcore,801,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
130,Quenno,100,Hardcore,794,Sorcerer,"Flame Shield, Ice Shards, Frost Nova, Teleport, Deep Freeze, Ice Armor"
131,button,100,Hardcore,808,Sorcerer,"Ice Shards, Flame Shield, Ice Armor, Frost Nova, Deep Freeze, Teleport"
132,Jpkwhat,100,Hardcore,804,Necromancer,"Reap, Bone Spear, Decrepify, Corpse Explosion, Corpse Tendrils, Blood Mist"
133,ëì´ìì¬ì¹,100,Hardcore,812,Druid,"Earth Spike, Pulverize, Debilitating Roar, Grizzly Rage, Earthen Bulwark, Trample"
134,Valnix,100,Hardcore,774,Necromancer,"Reap, Golem, Raise Skeleton, Blood Mist, Corpse Tendrils, Decrepify"
135,VelQ,100,[Dead] Hardcore,796,Barbarian,"Lunging Strike, Whirlwind, Challenging Shout, War Cry, Rallying Cry, Charge"
136,Definition,100,Hardcore,793,Sorcerer,"Spark, Ice Shards, Flame Shield, Frost Nova, Teleport, Ice Armor"
137,Modz,100,Hardcore,809,Druid,"Storm Strike, Tornado, Blood Howl, Cyclone Armor, Hurricane, Grizzly Rage"
138,é­é­,100,Hardcore,817,Barbarian,"Lunging Strike, Hammer of the Ancients, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
139,Hytyme,100,Hardcore,796,Sorcerer,"Meteor, Ice Shards, Frost Nova, Teleport, Flame Shield, Ice Armor"
140,Advise,100,Hardcore,797,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
141,Abimouto,100,Hardcore,810,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
142,Myostis,100,Hardcore,782,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Trample, Debilitating Roar, Grizzly Rage"
143,Nitrothree,100,Hardcore,802,Necromancer,"Bone Splinters, Bone Spear, Bone Storm, Blood Mist, Corpse Explosion, Corpse Tendrils"
144,BigKishmish,100,[Dead] Hardcore,809,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Trample, Cyclone Armor, Grizzly Rage"
145,Rafalko,100,[Dead] Hardcore,811,Barbarian,"Lunging Strike, Whirlwind, War Cry, Challenging Shout, Rallying Cry, Wrath of the Berserker"
146,RimiHcFour,100,Hardcore,813,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Trample, Debilitating Roar, Grizzly Rage"
147,Mec,100,Hardcore,814,Rogue,"Blade Shift, Twisting Blades, Shadow Step, Dash, Shadow Imbuement, Death Trap"
148,LETHAL,100,Hardcore,816,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
149,ì ê¸°íë¹í¬,100,[Dead] Hardcore,803,Barbarian,"Lunging Strike, Whirlwind, Challenging Shout, Wrath of the Berserker, Rallying Cry, War Cry"
150,kaiboss,100,[Dead] Hardcore,801,Barbarian,"Lunging Strike, Whirlwind, Challenging Shout, Rallying Cry, War Cry, Wrath of the Berserker"
151,SilhanG,100,[Dead] Hardcore,807,Necromancer,"Reap, Decrepify, Bone Storm, Corpse Explosion, Blood Mist, Corpse Tendrils"
152,IRDeebz,100,Hardcore,793,Sorcerer,"Arc Lash, Unstable Currents, Teleport, Ice Armor, Frost Nova, Flame Shield"
153,Karvarousku,100,Hardcore,801,Barbarian,"Lunging Strike, Wrath of the Berserker, Challenging Shout, Rallying Cry, War Cry, Whirlwind"
154,ëì¬ëì§í¨ë,100,[Dead] Hardcore,806,Rogue,"Puncture, Penetrating Shot, Dash, Poison Imbuement, Shadow Imbuement, Concealment"
155,SonofFixGame,100,[Dead] Hardcore,794,Barbarian,"Wrath of the Berserker, Whirlwind, Lunging Strike, Rallying Cry, Challenging Shout, War Cry"
156,MGardevoir,100,Hardcore,790,Sorcerer,"Ice Shards, Deep Freeze, Ice Armor, Frost Nova, Teleport, Flame Shield"
157,Rinppai,100,Hardcore,810,Necromancer,"Hemorrhage, Blood Surge, Blood Mist, Iron Maiden, Decrepify, Corpse Tendrils"
158,Kayern,100,[Dead] Hardcore,799,Druid,"Maul, Pulverize, Earthen Bulwark, Trample, Debilitating Roar, Grizzly Rage"
159,Ronin,100,Hardcore,797,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
160,Nightfell,100,Hardcore,784,Rogue,"Shadow Clone, Rapid Fire, Poison Trap, Shadow Imbuement, Dash, Shadow Step"
161,Clayster,100,Hardcore,808,Sorcerer,"Ice Shards, Flame Shield, Frost Nova, Ice Armor, Teleport, Inferno"
162,Bitcoin,100,Hardcore,783,Sorcerer,"Attack, Ice Shards, Teleport, Frost Nova, Ice Armor, Flame Shield"
163,Greyzerr,100,Hardcore,811,Druid,"Claw, Tornado, Debilitating Roar, Hurricane, Grizzly Rage, Earthen Bulwark"
164,Mela,100,Hardcore,794,Sorcerer,"Ice Shards, Deep Freeze, Teleport, Frost Nova, Ice Armor, Flame Shield"
165,Manso,100,Hardcore,785,Sorcerer,"Firewall, Ice Armor, Frost Nova, Teleport, Inferno, Flame Shield"
166,Anasrava,100,Hardcore,787,Sorcerer,"Deep Freeze, Ice Shards, Teleport, Flame Shield, Ice Armor, Frost Nova"
167,MalformedHC,100,Hardcore,798,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Trample, Debilitating Roar, Grizzly Rage"
168,WereusHC,100,Hardcore,789,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
169,Litos,100,Hardcore,781,Druid,"Earth Spike, Pulverize, Earthen Bulwark, Trample, Debilitating Roar, Grizzly Rage"
170,oogieboogie,100,Hardcore,806,Druid,"Storm Strike, Tornado, Hurricane, Earthen Bulwark, Blood Howl, Grizzly Rage"
171,ì´ì±,100,Hardcore,816,Sorcerer,"Ice Shards, Teleport, Frost Nova, Ice Armor, Deep Freeze, Flame Shield"
172,wardyy,100,Hardcore,788,Barbarian,"Lunging Strike, Hammer of the Ancients, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
173,Mendospin,100,Hardcore,815,Barbarian,"Iron Skin, Whirlwind, Rallying Cry, War Cry, Challenging Shout, Wrath of the Berserker"
174,Ace,100,Hardcore,821,Druid,"Earth Spike, Pulverize, Debilitating Roar, Earthen Bulwark, Trample, Grizzly Rage"
175,Bleeds,100,[Dead] Hardcore,783,Barbarian,"Wrath of the Berserker, Rallying Cry, Lunging Strike, Hammer of the Ancients, Challenging Shout, War Cry"
176,Infinite,100,Hardcore,821,Sorcerer,"Ice Shards, Flame Shield, Frost Nova, Teleport, Ice Armor, Deep Freeze"
177,Flugi,100,Hardcore,807,Rogue,"Puncture, Twisting Blades, Shadow Step, Poison Trap, Dash, Death Trap"
178,FaroreII,100,Hardcore,812,Sorcerer,"Ice Shards, Meteor, Teleport, Frost Nova, Ice Armor, Flame Shield"
179,Sanmaruwu,100,Hardcore,799,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
180,LiquidHC,100,Hardcore,794,Rogue,"Puncture, Twisting Blades, Poison Trap, Death Trap, Dark Shroud, Shadow Step"
181,Erza,100,Hardcore,801,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
182,Saita,100,[Dead] Hardcore,790,Sorcerer,"Arc Lash, Unstable Currents, Ice Armor, Flame Shield, Frost Nova, Teleport"
183,Freya,100,Hardcore,821,Sorcerer,"Ice Armor, Deep Freeze, Frost Bolt, Ice Shards, Frost Nova, Teleport"
184,Renion,100,Hardcore,806,Barbarian,"Iron Skin, Whirlwind, Challenging Shout, Rallying Cry, War Cry, Wrath of the Berserker"
185,Rumblepit,100,[Dead] Hardcore,0,Necromancer,
186,Petz,100,Hardcore,806,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
187,Kondyss,100,Hardcore,811,Barbarian,"Flay, Hammer of the Ancients, Rallying Cry, Challenging Shout, War Cry, Call of the Ancients"
188,Wootskittles,100,Hardcore,782,Sorcerer,"Arc Lash, Unstable Currents, Ice Armor, Teleport, Frost Nova, Flame Shield"
189,Normander,100,Hardcore,824,Necromancer,"Bone Splinters, Bone Spear, Raise Skeleton, Golem, Corpse Tendrils, Blood Mist"
190,Crysors,100,Hardcore,806,Druid,"Earth Spike, Earthen Bulwark, Pulverize, Debilitating Roar, Trample, Grizzly Rage"
191,PapaChrisTV,100,Hardcore,794,Sorcerer,"Ice Armor, Frost Nova, Ice Shards, Teleport, Flame Shield, Deep Freeze"
192,Pvpdome,100,Hardcore,812,Sorcerer,"Arc Lash, Flame Shield, Teleport, Ice Armor, Frost Nova, Unstable Currents"
193,Gigabear,100,Hardcore,813,Druid,"Storm Strike, Pulverize, Earthen Bulwark, Cyclone Armor, Trample, Grizzly Rage"
194,Mad,100,Hardcore,788,Sorcerer,"Arc Lash, Chain Lightning, Teleport, Frost Nova, Ice Armor, Unstable Currents"
195,Ezonk,100,Hardcore,804,Sorcerer,"Arc Lash, Unstable Currents, Ice Armor, Flame Shield, Frost Nova, Teleport"
196,Rando,100,Hardcore,817,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Wrath of the Berserker"
197,QT,100,[Dead] Hardcore,821,Barbarian,"Lunging Strike, Whirlwind, Rallying Cry, Challenging Shout, War Cry, Iron Skin"
198,Rie,100,Hardcore,812,Sorcerer,"Teleport, Frost Nova, Ball Lightning, Ice Armor, Unstable Currents, Flame Shield"
199,Maxadon,100,Hardcore,806,Druid,"Claw, Tornado, Hurricane, Shred, Blood Howl, Grizzly Rage"
